Original: emit , predicted 1st: close|close|close
Original: register , predicted 1st: close|close
Original: startDocument , predicted 1st: close|close|close
Original: register_treebuilders_from , predicted 1st: close|close|close|get|get|get
Original: assertSelects , predicted 1st: close|close|close|get|get|get|register_hook
Original: test_find_all_with_self_referential_data_structure_does_not_cause_infinite_recursion , predicted 1st: close|close|close|get|get|get|register_hook
Original: test_find_by_name_and_containing_string_when_string_is_buried , predicted 1st: close|close|close|get|get|get|register_hook
Original: test_text_element_find_parent , predicted 1st: close|close|close|get|get|get|register_hook
Original: test_find_previous_for_text_element , predicted 1st: close|close|close|get|get|get|register_hook
Original: test_doctype_ends_in_newline , predicted 1st: close|close|close|get|get|get|get
Original: write_input , predicted 1st: query|wsgi|query|pop|apply|pop|pop
Original: run_cscope , predicted 1st: close|close|close|close|get|get|get
Original: start , predicted 1st: reset|reset|query|view|publish|decode
Original: dump_memory , predicted 1st: close|close|close|close
Original: _version_check , predicted 1st: reset
Original: set_path , predicted 1st: close
Original: run , predicted 1st: decode|decode|render|render|view
Original: check_version , predicted 1st: getall|getall|build|build|copy|build|copy
Original: run_migrations_online , predicted 1st: close|close|close
Original: waitFileDisappear , predicted 1st: close|close|close|close|close|close|close
Original: _onEngineCreated , predicted 1st: replace|peek|peek|run_migrations_online|run_migrations_online|run_migrations_online|run_migrations_online
Original: messageBoxClosed , predicted 1st: close|close
Original: _onToolOperationStopped , predicted 1st: close|close|close
Original: getEngineLog , predicted 1st: close|close|close|get|get|get|register_hook
Original: setExpandedCategories , predicted 1st: close|close|close|get|get|get|register_hook
Original: _onActiveMachineChanged , predicted 1st: __init__|__init__|get|get|get|touni|touni
Original: getBuildVolume , predicted 1st: __init__|__init__|get|get|get|touni|touni
Original: main , predicted 1st: setup_server|decode|_get_kwargs|<S>|test
Original: _reset , predicted 1st: close|close|close|get|get|get|register_hook
Original: __set_properties , predicted 1st: start|close|close
Original: test_gsl_linalg_symmtd_decomp , predicted 1st: query|wsgi|query|pop|apply|pop|pop
Original: test_gsl_matrix_fprintf , predicted 1st: query|wsgi|query|pop|apply|pop|pop
Original: test_gsl_vector_complex_subvector_with_stride , predicted 1st: query|wsgi|query|pop|apply|pop|pop
Original: set_location , predicted 1st: __getslice__|__getslice__|__getslice__|__getslice__|__getslice__|__getslice__|test
Original: check , predicted 1st: close|close|close|close|close
Original: copy_data_block , predicted 1st: __str__|__init__|__init__|setUp|setUp|__init__|setUp
Original: classify_iris , predicted 1st: close|close|close|close
Original: decode_dict , predicted 1st: close|close|close|close
Original: bdecode , predicted 1st: view|view|publish|set_cert|view
Original: encode_dict , predicted 1st: close|close|close|close|close|close|close
Original: validate_range , predicted 1st: 
Original: __init__ , predicted 1st: close|close|close
Original: _HasProperty , predicted 1st: close|close|close|close|get|get|get
Original: testCascadeDelete , predicted 1st: query|wsgi|query|pop|apply|pop|pop
Original: testTransform_NoHadoopCluster , predicted 1st: query|wsgi|query|pop|apply|pop|pop
Original: GetStageHelp , predicted 1st: set_cert|load_app|load_app|copy|read_headers|setUp|setUp
Original: searchElement , predicted 1st: close|close|close
Original: BinarySearchRecursive , predicted 1st: peek|peek|run_migrations_online|run_migrations_online|run_migrations_online|run_migrations_online|index
Original: CheckDuplicatesBruteForce , predicted 1st: __init__|get|get|get
Original: Fibo , predicted 1st: check|check|__delattr__|check|check|__delattr__
Original: Fibo , predicted 1st: check|check|__delattr__|check|check|__delattr__
Original: LCSLength , predicted 1st: check|check|__delattr__|check|check|__delattr__
Original: __init__ , predicted 1st: close|close|close
Original: publish , predicted 1st: close|close|close|get|get|get|get
Original: load_from_np , predicted 1st: close|close|close|close|close|close
Original: main , predicted 1st: setup_server|decode|_get_kwargs|<S>|test
Original: test_mlp , predicted 1st: query|wsgi|query|pop|apply|pop|pop
Original: plot_cluster , predicted 1st: close|close|close|close
Original: test_should_fail_gracefully , predicted 1st: query|wsgi|query|pop|apply|pop|pop
Original: test_should_fail_gracefully , predicted 1st: query|wsgi|query|pop|apply|pop|pop
Original: test_thresholds , predicted 1st: query|wsgi|query|pop|apply|pop|pop
Original: test_import , predicted 1st: query|wsgi|query|pop|apply|pop|pop
Original: test_empty_zero_sensor , predicted 1st: close|close|close|get|get|get|register_hook
Original: test_should_fail_gracefully , predicted 1st: query|wsgi|query|pop|apply|pop|pop
Original: test_should_work_with_real_data , predicted 1st: query|wsgi|query|pop|apply|pop|pop
Original: setUp , predicted 1st: query|wsgi|query|pop|apply|pop|pop
Original: test_should_open_proc_net_sockstat , predicted 1st: query|wsgi|query|pop|apply|pop|pop
Original: test_should_work_with_real_data , predicted 1st: query|wsgi|query|pop|apply|pop|pop
Original: test_should_open_proc_stat , predicted 1st: query|wsgi|query|pop|apply|pop|pop
Original: gmetric_read , predicted 1st: delete_cookie|register_hook|run_migrations_online|__call__|__call__|__call__|__call__
Original: main , predicted 1st: setup_server|decode|_get_kwargs|<S>|test
Original: i18n_patterns , predicted 1st: close|close
Original: __init__ , predicted 1st: close|close|close|close
Original: label_for_value , predicted 1st: __init__|__init__|get|get|copy|redirect|_prepare_conn
Original: value_from_datadict , predicted 1st: close|close|close|close|get|get|get
Original: dispatch , predicted 1st: close|close|close|close|close
Original: extract_views_from_urlpatterns , predicted 1st: __init__|__init__|get|get
Original: get_user , predicted 1st: __init__|__init__|decode|decode|render|makelist
0.001953125
